Data do Jogo,Adversário,V/D,Casa/Fora,PTS,REB,AST,Placar do Jogo,Tentativas de Cestas de 3,Cestas de 3 PTS Marcados,Tempo em Quadra,Player_Name,Season
2024-12-05,SAC,W,Casa,15.0,2.0,2.0,15.0 - ?,1.0,0.0,25.0,Jaren Jackson Jr.,2024-25
2024-12-03,DAL,L,Fora,16.0,7.0,2.0,16.0 - ?,7.0,2.0,29.0,Jaren Jackson Jr.,2024-25
2024-12-01,IND,W,Casa,25.0,8.0,0.0,25.0 - ?,6.0,3.0,29.0,Jaren Jackson Jr.,2024-25
2024-11-29,NOP,W,Casa,23.0,8.0,1.0,23.0 - ?,5.0,0.0,28.0,Jaren Jackson Jr.,2024-25
2024-11-27,DET,W,Casa,12.0,6.0,2.0,12.0 - ?,7.0,0.0,22.0,Jaren Jackson Jr.,2024-25
2024-11-25,POR,W,Casa,21.0,6.0,1.0,21.0 - ?,2.0,2.0,28.0,Jaren Jackson Jr.,2024-25
2024-11-23,CHI,W,Fora,23.0,4.0,4.0,23.0 - ?,7.0,3.0,26.0,Jaren Jackson Jr.,2024-25
2024-11-20,PHI,W,Casa,25.0,4.0,1.0,25.0 - ?,5.0,2.0,30.0,Jaren Jackson Jr.,2024-25
2024-11-19,DEN,L,Casa,19.0,8.0,1.0,19.0 - ?,8.0,2.0,29.0,Jaren Jackson Jr.,2024-25
2024-11-17,DEN,W,Casa,20.0,6.0,2.0,20.0 - ?,5.0,2.0,31.0,Jaren Jackson Jr.,2024-25
2024-11-15,GSW,L,Fora,32.0,6.0,1.0,32.0 - ?,4.0,0.0,33.0,Jaren Jackson Jr.,2024-25
2024-11-13,LAL,L,Fora,29.0,7.0,1.0,29.0 - ?,7.0,2.0,33.0,Jaren Jackson Jr.,2024-25
2024-11-10,POR,W,Fora,20.0,7.0,2.0,20.0 - ?,7.0,3.0,24.0,Jaren Jackson Jr.,2024-25
2024-11-08,WAS,W,Casa,39.0,6.0,1.0,39.0 - ?,12.0,5.0,28.0,Jaren Jackson Jr.,2024-25
2024-11-06,LAL,W,Casa,20.0,6.0,1.0,20.0 - ?,4.0,1.0,32.0,Jaren Jackson Jr.,2024-25
2024-11-04,BKN,L,Fora,15.0,5.0,1.0,15.0 - ?,5.0,3.0,32.0,Jaren Jackson Jr.,2024-25
2024-11-02,PHI,W,Fora,27.0,6.0,0.0,27.0 - ?,3.0,2.0,31.0,Jaren Jackson Jr.,2024-25
2024-10-31,MIL,W,Casa,13.0,5.0,2.0,13.0 - ?,4.0,0.0,26.0,Jaren Jackson Jr.,2024-25
2024-10-30,BKN,L,Casa,30.0,4.0,0.0,30.0 - ?,3.0,3.0,28.0,Jaren Jackson Jr.,2024-25
2024-10-28,CHI,L,Casa,19.0,6.0,1.0,19.0 - ?,4.0,1.0,24.0,Jaren Jackson Jr.,2024-25
2024-10-26,ORL,W,Casa,13.0,4.0,1.0,13.0 - ?,2.0,0.0,23.0,Jaren Jackson Jr.,2024-25
2025-02-08,OKC,L,Casa,16.0,5.0,7.0,16.0 - ?,4.0,2.0,36.0,Ja Morant,2024-25
